timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-20T15:12:02.072870,3,3,0,0,0,staging
2026-02-20T15:12:05.498283,3,3,0,0,0,staging
2026-02-20T15:12:07.074484,3,3,0,0,0,staging
2026-02-20T15:12:10.499764,3,3,0,0,0,staging
2026-02-20T15:12:12.076185,3,3,0,0,0,staging
2026-02-20T15:12:14.105520,3,3,0,0,0,staging
2026-02-20T15:12:15.501514,3,3,0,0,0,staging
2026-02-20T15:12:17.077487,3,3,0,0,0,staging
2026-02-20T15:12:19.107329,3,3,0,0,0,staging
2026-02-20T15:12:20.502628,3,3,0,0,0,staging
2026-02-20T15:12:22.078887,3,3,0,0,0,staging
2026-02-20T15:12:24.108437,3,3,0,0,0,staging
2026-02-20T15:12:25.503898,3,3,0,0,0,staging
2026-02-20T15:12:27.080668,3,3,0,0,0,staging
2026-02-20T15:12:29.109937,3,3,0,0,0,staging
2026-02-20T15:12:30.505265,3,3,0,0,0,staging
2026-02-20T15:12:31.569122,3,3,0,0,0,staging
2026-02-20T15:12:32.082003,3,3,0,0,0,staging
2026-02-20T15:12:34.111315,3,3,0,0,0,staging
2026-02-20T15:12:35.506595,3,3,0,0,0,staging
2026-02-20T15:12:36.570397,3,3,0,0,0,staging
2026-02-20T15:12:37.083799,3,3,0,0,0,staging
2026-02-20T15:12:39.112541,3,3,0,0,0,staging
2026-02-20T15:12:40.508935,3,3,0,0,0,staging
2026-02-20T15:12:41.572739,3,3,0,0,0,staging
2026-02-20T15:12:42.086526,3,3,0,0,0,staging
2026-02-20T15:12:44.113557,3,3,0,0,0,staging
2026-02-20T15:12:45.510703,3,3,0,0,0,staging
2026-02-20T15:12:46.573974,3,3,0,0,0,staging
2026-02-20T15:12:47.087597,3,3,0,0,0,staging
2026-02-20T15:12:49.114731,3,3,0,0,0,staging
2026-02-20T15:12:50.511824,3,3,0,0,0,staging
2026-02-20T15:12:51.574972,3,3,0,0,0,staging
2026-02-20T15:12:52.089074,3,3,0,0,0,staging
2026-02-20T15:12:54.116269,3,3,0,0,0,staging
2026-02-20T15:12:55.513117,3,3,0,0,0,staging
2026-02-20T15:12:56.576032,3,3,0,0,0,staging
2026-02-20T15:12:57.090301,3,3,0,0,0,staging
2026-02-20T15:12:59.117841,3,3,0,0,0,staging
2026-02-20T15:13:00.514644,3,3,0,0,0,staging
2026-02-20T15:13:01.577484,3,3,0,0,0,staging
2026-02-20T15:13:02.092061,3,3,0,0,0,staging
2026-02-20T15:13:04.119215,3,3,0,0,0,staging
2026-02-20T15:13:05.516400,3,3,0,0,0,staging
2026-02-20T15:13:06.578913,3,3,0,0,0,staging
2026-02-20T15:13:07.093175,3,3,0,0,0,staging
2026-02-20T15:13:09.120736,3,3,0,0,0,staging
2026-02-20T15:13:10.517518,3,3,0,0,0,staging
2026-02-20T15:13:11.580186,3,3,0,0,0,staging
2026-02-20T15:13:12.094885,3,3,0,0,0,staging
2026-02-20T15:13:14.122367,3,3,0,0,0,staging
2026-02-20T15:13:15.518854,3,3,0,0,0,staging
2026-02-20T15:13:16.582180,3,3,0,0,0,staging
2026-02-20T15:13:17.096114,3,3,0,0,0,staging
2026-02-20T15:13:19.123606,3,3,0,0,0,staging
2026-02-20T15:13:20.520468,3,3,0,0,0,staging
2026-02-20T15:13:21.583865,3,3,0,0,0,staging
2026-02-20T15:13:22.097728,3,3,0,0,0,staging
2026-02-20T15:13:24.124743,3,3,0,0,0,staging
2026-02-20T15:13:25.522455,3,3,0,0,0,staging
