timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-14T17:15:22.701669,3,3,0,0,0,stage
2026-02-14T17:15:26.231824,3,3,0,0,0,stage
2026-02-14T17:15:27.704191,3,3,0,0,0,stage
2026-02-14T17:15:31.234424,3,3,0,0,0,stage
2026-02-14T17:15:32.707215,3,3,0,0,0,stage
2026-02-14T17:15:36.235997,3,3,0,0,0,stage
2026-02-14T17:15:37.708991,3,3,0,0,0,stage
2026-02-14T17:15:41.237730,3,3,0,0,0,stage
2026-02-14T17:15:42.710297,3,3,0,0,0,stage
2026-02-14T17:15:46.240161,3,3,0,0,0,stage
2026-02-14T17:15:47.712094,3,3,0,0,0,stage
2026-02-14T17:15:52.713797,3,3,0,0,0,stage
2026-02-14T17:15:57.715712,3,3,0,0,0,stage
2026-02-14T17:16:02.718473,3,3,0,0,0,stage
2026-02-14T17:16:07.720280,3,3,0,0,0,stage
2026-02-14T17:16:12.721976,3,3,0,0,0,stage
2026-02-14T17:16:17.723257,3,3,0,0,0,stage
2026-02-14T17:16:22.725459,3,3,0,0,0,stage
2026-02-14T17:16:27.726658,3,3,0,0,0,stage
2026-02-14T17:16:32.728480,3,3,0,0,0,stage
2026-02-14T17:16:37.730286,3,3,0,0,0,stage
2026-02-14T17:16:42.732791,3,3,0,0,0,stage
2026-02-14T17:16:47.734590,3,3,0,0,0,stage
2026-02-14T17:16:52.735871,3,3,0,0,0,stage
2026-02-14T17:16:57.738263,3,3,0,0,0,stage
2026-02-14T17:17:02.740110,3,3,0,0,0,stage
2026-02-14T17:17:03.258517,3,3,0,0,0,stage
2026-02-14T17:17:07.743540,3,3,0,0,0,stage
2026-02-14T17:17:08.260476,3,3,0,0,0,stage
2026-02-14T17:17:12.746312,3,3,0,0,0,stage
2026-02-14T17:17:13.262716,3,3,0,0,0,stage
2026-02-14T17:17:17.748749,3,3,0,0,0,stage
2026-02-14T17:17:18.264159,3,3,0,0,0,stage
2026-02-14T17:17:22.751114,3,3,0,0,0,stage
2026-02-14T17:17:23.266487,3,3,0,0,0,stage
2026-02-14T17:17:27.753436,3,3,0,0,0,stage
2026-02-14T17:17:32.756032,3,3,0,0,0,stage
