timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-20T15:30:59.639761,3,3,0,0,0,prod
2026-02-20T15:31:01.658692,3,3,0,0,0,prod
2026-02-20T15:31:02.248728,3,3,0,0,0,prod
2026-02-20T15:31:03.026326,3,3,0,0,0,prod
2026-02-20T15:31:03.159910,3,3,0,0,0,prod
2026-02-20T15:31:04.642083,3,3,0,0,0,prod
2026-02-20T15:31:06.660005,3,3,0,0,0,prod
2026-02-20T15:31:07.249821,3,3,0,0,0,prod
2026-02-20T15:31:08.028159,3,3,0,0,0,prod
2026-02-20T15:31:08.161094,3,3,0,0,0,prod
2026-02-20T15:31:09.643911,3,3,0,0,0,prod
2026-02-20T15:31:11.661249,3,3,0,0,0,prod
2026-02-20T15:31:12.251206,3,3,0,0,0,prod
2026-02-20T15:31:13.030161,3,3,0,0,0,prod
2026-02-20T15:31:13.163062,3,3,0,0,0,prod
2026-02-20T15:31:14.645997,3,3,0,0,0,prod
2026-02-20T15:31:16.663317,3,3,0,0,0,prod
2026-02-20T15:31:17.252601,3,3,0,0,0,prod
2026-02-20T15:31:18.031747,3,3,0,0,0,prod
2026-02-20T15:31:18.164555,3,3,0,0,0,prod
2026-02-20T15:31:19.647715,3,3,0,0,0,prod
2026-02-20T15:31:21.665011,3,3,0,0,0,prod
2026-02-20T15:31:22.253832,3,3,0,0,0,prod
2026-02-20T15:31:23.033835,3,3,0,0,0,prod
2026-02-20T15:31:23.166546,3,3,0,0,0,prod
2026-02-20T15:31:24.648876,3,3,0,0,0,prod
2026-02-20T15:31:26.666515,3,3,0,0,0,prod
2026-02-20T15:31:27.254814,3,3,0,0,0,prod
2026-02-20T15:31:28.035078,3,3,0,0,0,prod
2026-02-20T15:31:28.168599,3,3,0,0,0,prod
2026-02-20T15:31:29.651684,3,3,0,0,0,prod
2026-02-20T15:31:31.667925,3,3,0,0,0,prod
2026-02-20T15:31:32.255910,3,3,0,0,0,prod
2026-02-20T15:31:33.036217,3,3,0,0,0,prod
2026-02-20T15:31:33.170176,3,3,0,0,0,prod
2026-02-20T15:31:34.653425,3,3,0,0,0,prod
2026-02-20T15:31:36.669100,3,3,0,0,0,prod
2026-02-20T15:31:37.257534,3,3,0,0,0,prod
2026-02-20T15:31:38.038513,3,3,0,0,0,prod
